Таблица данных:
theta_rad    theta_deg    F(theta)    D(theta)    D(theta)_dB
3.850384e-01  22.061074  3.755683e-01  2.115841e-01  -6.745169
3.866100e-01  22.151119  3.770243e-01  2.132278e-01  -6.711561
3.881815e-01  22.241164  3.784793e-01  2.148768e-01  -6.678104
3.897531e-01  22.331209  3.799334e-01  2.165311e-01  -6.644797
3.913247e-01  22.421254  3.813866e-01  2.181907e-01  -6.611638
3.928963e-01  22.511299  3.828389e-01  2.198555e-01  -6.578627
3.944679e-01  22.601344  3.842901e-01  2.215255e-01  -6.545762
3.960394e-01  22.691389  3.857405e-01  2.232008e-01  -6.513043
3.976110e-01  22.781433  3.871899e-01  2.248813e-01  -6.480467
3.991826e-01  22.871478  3.886383e-01  2.265669e-01  -6.448035
4.007542e-01  22.961523  3.900858e-01  2.282578e-01  -6.415744
4.023258e-01  23.051568  3.915323e-01  2.299538e-01  -6.383595
4.038973e-01  23.141613  3.929779e-01  2.316549e-01  -6.351586
4.054689e-01  23.231658  3.944224e-01  2.333611e-01  -6.319715
4.070405e-01  23.321703  3.958660e-01  2.350725e-01  -6.287982
4.086121e-01  23.411748  3.973087e-01  2.367889e-01  -6.256386
4.101837e-01  23.501793  3.987503e-01  2.385104e-01  -6.224927
4.117553e-01  23.591838  4.001910e-01  2.402370e-01  -6.193601
4.133268e-01  23.681883  4.016306e-01  2.419686e-01  -6.162410
4.148984e-01  23.771928  4.030693e-01  2.437052e-01  -6.131352
4.164700e-01  23.861973  4.045070e-01  2.454468e-01  -6.100426
4.180416e-01  23.952018  4.059437e-01  2.471934e-01  -6.069631
4.196132e-01  24.042063  4.073794e-01  2.489450e-01  -6.038966
4.211847e-01  24.132108  4.088141e-01  2.507015e-01  -6.008431
4.227563e-01  24.222153  4.102477e-01  2.524629e-01  -5.978023
4.243279e-01  24.312198  4.116804e-01  2.542293e-01  -5.947744
4.258995e-01  24.402243  4.131120e-01  2.560006e-01  -5.917590
4.274711e-01  24.492288  4.145426e-01  2.577767e-01  -5.887563
4.290426e-01  24.582333  4.159722e-01  2.595577e-01  -5.857660
4.306142e-01  24.672378  4.174008e-01  2.613436e-01  -5.827881
4.321858e-01  24.762423  4.188284e-01  2.631343e-01  -5.798226
4.337574e-01  24.852468  4.202549e-01  2.649298e-01  -5.768692
4.353290e-01  24.942513  4.216803e-01  2.667301e-01  -5.739280
4.369006e-01  25.032558  4.231048e-01  2.685351e-01  -5.709989
4.384721e-01  25.122603  4.245281e-01  2.703449e-01  -5.680818
4.400437e-01  25.212648  4.259505e-01  2.721595e-01  -5.651765
4.416153e-01  25.302693  4.273717e-01  2.739788e-01  -5.622831
4.431869e-01  25.392737  4.287920e-01  2.758027e-01  -5.594014
4.447585e-01  25.482782  4.302111e-01  2.776314e-01  -5.565314
4.463300e-01  25.572827  4.316293e-01  2.794647e-01  -5.536730
4.479016e-01  25.662872  4.330463e-01  2.813027e-01  -5.508261
4.494732e-01  25.752917  4.344623e-01  2.831453e-01  -5.479906
4.510448e-01  25.842962  4.358772e-01  2.849925e-01  -5.451665
4.526164e-01  25.933007  4.372910e-01  2.868444e-01  -5.423537
4.541879e-01  26.023052  4.387037e-01  2.887008e-01  -5.395521
4.557595e-01  26.113097  4.401154e-01  2.905617e-01  -5.367616
4.573311e-01  26.203142  4.415260e-01  2.924272e-01  -5.339822
4.589027e-01  26.293187  4.429354e-01  2.942972e-01  -5.312139
4.604743e-01  26.383232  4.443438e-01  2.961717e-01  -5.284564
4.620458e-01  26.473277  4.457511e-01  2.980507e-01  -5.257098
4.636174e-01  26.563322  4.471573e-01  2.999342e-01  -5.229740
4.651890e-01  26.653367  4.485624e-01  3.018221e-01  -5.202490
4.667606e-01  26.743412  4.499664e-01  3.037144e-01  -5.175346
4.683322e-01  26.833457  4.513693e-01  3.056112e-01  -5.148308
4.699038e-01  26.923502  4.527710e-01  3.075123e-01  -5.121375
4.714753e-01  27.013547  4.541716e-01  3.094178e-01  -5.094547
4.730469e-01  27.103592  4.555712e-01  3.113277e-01  -5.067823
4.746185e-01  27.193637  4.569696e-01  3.132419e-01  -5.041202
4.761901e-01  27.283682  4.583668e-01  3.151604e-01  -5.014684
4.777617e-01  27.373727  4.597629e-01  3.170832e-01  -4.988268
4.793332e-01  27.463772  4.611579e-01  3.190103e-01  -4.961953
4.809048e-01  27.553817  4.625518e-01  3.209416e-01  -4.935740
4.824764e-01  27.643862  4.639445e-01  3.228772e-01  -4.909626
4.840480e-01  27.733907  4.653361e-01  3.248170e-01  -4.883613
4.856196e-01  27.823952  4.667265e-01  3.267610e-01  -4.857698
4.871911e-01  27.913997  4.681158e-01  3.287092e-01  -4.831882
