theta_deg D_times D_dB
37.19 1.240115e-03 -29.065380
37.28 1.237066e-03 -29.076071
37.37 1.234089e-03 -29.086534
37.46 1.231184e-03 -29.096769
37.55 1.228351e-03 -29.106776
37.64 1.225588e-03 -29.116557
37.73 1.222895e-03 -29.126110
37.82 1.220271e-03 -29.135436
37.91 1.217717e-03 -29.144535
38.00 1.215232e-03 -29.153409
38.09 1.212815e-03 -29.162056
38.18 1.210465e-03 -29.170478
38.27 1.208183e-03 -29.178674
38.36 1.205967e-03 -29.186645
38.45 1.203818e-03 -29.194392
38.54 1.201735e-03 -29.201914
38.63 1.199717e-03 -29.209213
38.72 1.197764e-03 -29.216287
38.81 1.195876e-03 -29.223139
38.90 1.194052e-03 -29.229768
38.99 1.192292e-03 -29.236175
39.08 1.190595e-03 -29.242360
39.17 1.188961e-03 -29.248324
39.26 1.187390e-03 -29.254067
39.35 1.185881e-03 -29.259589
39.44 1.184434e-03 -29.264891
39.53 1.183049e-03 -29.269974
39.62 1.181724e-03 -29.274838
39.71 1.180461e-03 -29.279483
39.80 1.179258e-03 -29.283911
39.89 1.178116e-03 -29.288121
39.98 1.177033e-03 -29.292115
40.07 1.176009e-03 -29.295892
40.16 1.175045e-03 -29.299454
40.25 1.174140e-03 -29.302801
40.34 1.173294e-03 -29.305933
40.43 1.172505e-03 -29.308852
40.52 1.171775e-03 -29.311557
40.61 1.171103e-03 -29.314050
40.70 1.170488e-03 -29.316331
40.79 1.169930e-03 -29.318401
40.88 1.169429e-03 -29.320260
40.97 1.168985e-03 -29.321910
41.06 1.168597e-03 -29.323350
41.15 1.168266e-03 -29.324583
41.24 1.167990e-03 -29.325607
41.33 1.167771e-03 -29.326425
41.42 1.167606e-03 -29.327036
41.51 1.167497e-03 -29.327442
41.60 1.167443e-03 -29.327643
41.69 1.167444e-03 -29.327640
41.78 1.167499e-03 -29.327435
41.87 1.167609e-03 -29.327027
41.96 1.167773e-03 -29.326417
42.05 1.167990e-03 -29.325607
42.14 1.168262e-03 -29.324597
42.23 1.168587e-03 -29.323388
42.32 1.168966e-03 -29.321981
42.41 1.169398e-03 -29.320376
42.50 1.169883e-03 -29.318575
42.59 1.170421e-03 -29.316579
42.68 1.171012e-03 -29.314388
42.77 1.171655e-03 -29.312003
42.86 1.172350e-03 -29.309425
42.95 1.173098e-03 -29.306656
43.04 1.173898e-03 -29.303695
43.13 1.174750e-03 -29.300545
43.22 1.175654e-03 -29.297205
43.31 1.176609e-03 -29.293677
43.40 1.177616e-03 -29.289962
43.49 1.178675e-03 -29.286060
43.58 1.179784e-03 -29.281973
43.67 1.180945e-03 -29.277702
43.76 1.182157e-03 -29.273248
43.85 1.183420e-03 -29.268611
43.94 1.184734e-03 -29.263793
44.03 1.186098e-03 -29.258795
44.12 1.187513e-03 -29.253617
44.21 1.188978e-03 -29.248262
44.30 1.190494e-03 -29.242729
44.39 1.192060e-03 -29.237020
44.48 1.193676e-03 -29.231135
44.57 1.195342e-03 -29.225077
44.66 1.197059e-03 -29.218846
44.75 1.198825e-03 -29.212443
44.84 1.200641e-03 -29.205869
44.93 1.202507e-03 -29.199125
45.02 1.204422e-03 -29.192212
45.11 1.206387e-03 -29.185132
45.20 1.208402e-03 -29.177886
45.29 1.210466e-03 -29.170474
45.38 1.212580e-03 -29.162897
45.47 1.214742e-03 -29.155158
45.56 1.216955e-03 -29.147256
45.65 1.219216e-03 -29.139194
45.74 1.221526e-03 -29.130972
45.83 1.223886e-03 -29.122591
45.92 1.226294e-03 -29.114052
46.01 1.228752e-03 -29.105357
46.10 1.231259e-03 -29.096507
46.19 1.233814e-03 -29.087503
46.28 1.236418e-03 -29.078346
46.37 1.239071e-03 -29.069037
46.46 1.241773e-03 -29.059578
46.55 1.244524e-03 -29.049968
46.64 1.247323e-03 -29.040211
46.73 1.250171e-03 -29.030307
46.82 1.253067e-03 -29.020256
46.91 1.256012e-03 -29.010061
47.00 1.259006e-03 -28.999722
47.09 1.262048e-03 -28.989241
47.18 1.265139e-03 -28.978618
47.27 1.268278e-03 -28.967856
47.36 1.271466e-03 -28.956954
47.45 1.274702e-03 -28.945915
47.54 1.277986e-03 -28.934739
47.63 1.281319e-03 -28.923428
47.72 1.284700e-03 -28.911983
47.81 1.288129e-03 -28.900405
47.90 1.291607e-03 -28.888695
47.99 1.295133e-03 -28.876855
48.08 1.298708e-03 -28.864885
48.17 1.302331e-03 -28.852787
48.26 1.306002e-03 -28.840563
48.35 1.309721e-03 -28.828212
48.44 1.313489e-03 -28.815737
48.53 1.317304e-03 -28.803139
48.62 1.321168e-03 -28.790418
48.71 1.325081e-03 -28.777577
48.80 1.329041e-03 -28.764615
48.89 1.333050e-03 -28.751536
48.98 1.337107e-03 -28.738339
49.07 1.341212e-03 -28.725025
49.16 1.345365e-03 -28.711597
